,importance,stddev,p_value,n,p99_high,p99_low
group__hypothesis_000022,0.00019261476010327014,1.5021386548364197e-05,4.403007936742002e-06,5,0.00022354400262397783,0.00016168551758256246
group__hypothesis_000003,9.831903488650402e-05,7.865418302122456e-06,4.8732792320500694e-06,5,0.00011451403988220798,8.212402989080007e-05
group__hypothesis_000026,9.751489265429781e-05,7.245472057589321e-06,3.630564479604679e-06,5,0.00011243341976394035,8.259636554465528e-05
n_component_versions,5.416760185567109e-05,4.528339097286655e-06,5.806875089577317e-06,5,6.349151464528195e-05,4.484368906606023e-05
revision__hypothesis_000003,4.189602615734679e-05,4.517726561605668e-06,1.5975938483649248e-05,5,5.1198087589309666e-05,3.259396472538391e-05
revision__hypothesis_000022,3.528383869906655e-05,3.7403864664094414e-06,1.4930156422468194e-05,5,4.2985346131038513e-05,2.758233126709459e-05
n_active_groups,2.9956961695184417e-05,3.3031065343379047e-06,1.7453121656989333e-05,5,3.675810370317013e-05,2.31558196871987e-05
group__hypothesis_000025,2.3584989788134462e-05,2.8564523650961005e-06,2.5322113218066415e-05,5,2.9466464688234634e-05,1.770351488803429e-05
revision__hypothesis_000026,1.732388833851974e-05,2.1738014043316264e-06,2.9135089860966597e-05,5,2.179977547516689e-05,1.2848001201872589e-05
revision__hypothesis_000016,1.2826045943179583e-05,2.3673758207453762e-06,0.0001331694321680293,5,1.7700505478705405e-05,7.951586407653763e-06
parent_cv_score,1.2371247664781757e-05,2.151351473907444e-06,0.0001054535587609021,5,1.68009100843945e-05,7.941585245169012e-06
group__hypothesis_000024,1.2137715728721145e-05,1.5004778314804572e-06,2.7463372955323194e-05,5,1.5227220322546968e-05,9.048211134895322e-06
revision__hypothesis_000001,1.1087869417963681e-05,3.0760464419866855e-06,0.0006433653658820491,5,1.742149155749425e-05,4.754247278433111e-06
group__hypothesis_000016,1.0903354106595216e-05,1.908828353798156e-06,0.00010825950548565368,5,1.4833658069877193e-05,6.973050143313239e-06
n_removed_groups_vs_parent,1.0670665882376429e-05,1.4267999298096588e-06,3.746146667862165e-05,5,1.3608466658325257e-05,7.7328651064276e-06
group__hypothesis_000021,9.135566134490168e-06,1.5583564877658675e-06,9.77782622895404e-05,5,1.2344243681575695e-05,5.926888587404641e-06
revision__hypothesis_000021,9.042226590916204e-06,1.4783753390484409e-06,8.277439426906041e-05,5,1.2086221847335596e-05,5.998231334496812e-06
revision__hypothesis_000025,8.868206611432216e-06,1.5573655054221428e-06,0.00010958472443182642,5,1.2074843712175181e-05,5.66156951068925e-06
revision__hypothesis_000027,8.206221079185982e-06,1.681466749397428e-06,0.00020018560016467465,5,1.1668384356535534e-05,4.7440578018364295e-06
revision__hypothesis_000024,7.727914718011313e-06,1.944292916898212e-06,0.0004427776673318205,5,1.1731240706888657e-05,3.7245887291339675e-06
parent_delta_vs_grandparent,6.94812180611512e-06,1.5640016033059296e-06,0.00028832039560387773,5,1.0168422724121424e-05,3.727820888108817e-06
revision__hypothesis_000023,6.862008617838673e-06,1.611268439379266e-06,0.0003394508304080473,5,1.0179632604617075e-05,3.544384631060269e-06
