,importance,stddev,p_value,n,p99_high,p99_low
n_component_versions,5.779829432325356e-05,1.4858783892781033e-05,0.00048097379443679526,5,8.839273572870798e-05,2.7203852917799136e-05
hist_group_mean_cv,5.240912224050431e-05,1.232914706256194e-05,0.0003419010974237412,5,7.779500644924104e-05,2.702323803176758e-05
group__hypothesis_000016,3.937708795252237e-05,1.1488360305238896e-05,0.0007789146947315216,5,6.303178060702299e-05,1.5722395298021736e-05
parent_delta_vs_grandparent,3.226272457576118e-05,1.0991504674001398e-05,0.0013938494347995932,5,5.489438461826919e-05,9.631064533253165e-06
hist_group_use_count_mean,2.6149728451012594e-05,2.7865254267772095e-06,1.524114935768474e-05,5,3.188722281862117e-05,2.0412234083404018e-05
parent_cv_score,2.3355025160377568e-05,4.968831267256661e-06,0.0002316919452202508,5,3.358591741620546e-05,1.3124132904549674e-05
hist_group_effect_mean,2.0102355453869285e-05,1.9606695497231706e-06,1.0723152936988715e-05,5,2.4139401156082342e-05,1.606530975165623e-05
hist_group_use_count_sum,1.6504566904015356e-05,2.7765972559137738e-06,9.259828359639368e-05,5,2.2221619030594213e-05,1.0787514777436498e-05
component_families,1.4999081849434987e-05,4.5159665314605025e-06,0.0008773545182509811,5,2.4297519355002765e-05,5.700644343867207e-06
graph_depth,1.2874402618725517e-05,1.8053197545079834e-06,4.520518300407108e-05,5,1.659158094542815e-05,9.157224292022882e-06
n_changed_groups_vs_parent,1.1483756325306735e-05,7.922561379309192e-06,0.01581927547938868,5,2.7796419706739438e-05,-4.828907056125966e-06
group__hypothesis_000013,9.098120782783374e-06,2.3056527686016767e-06,0.0004552474798215341,5,1.3845491700842076e-05,4.3507498647246716e-06
n_active_groups,7.750175092305904e-06,2.1281406921160615e-06,0.0006187128680938717,5,1.2132046191403094e-05,3.368303993208714e-06
group__hypothesis_000032,7.738149441788293e-06,1.0027739122120214e-06,3.309655073088253e-05,5,9.802874786841205e-06,5.67342409673538e-06
group__hypothesis_000015,5.335017591768794e-06,1.920604704003551e-06,0.0017093745213276914,5,9.289569222890137e-06,1.3804659606474507e-06
n_new_groups_vs_parent,5.099529681473753e-06,1.976848202544107e-06,0.002241747031483126,5,9.169887453457861e-06,1.0291719094896442e-06
revision__hypothesis_000008,4.732271864844591e-06,2.717459988098482e-06,0.008815681638212225,5,1.0327559539627859e-05,-8.630158099386778e-07
group__hypothesis_000018,3.954761656722587e-06,3.773407885381428e-06,0.03953600437578044,5,1.1724260646762379e-05,-3.814737333317204e-06
hist_group_max_cv,3.4325656036826516e-06,9.80040502144638e-07,0.000717618369967462,5,5.450482543197703e-06,1.4146486641675998e-06
group__hypothesis_000040,3.3600163078517628e-06,1.8037881301170321e-06,0.007042609069096134,5,7.074040998764129e-06,-3.5400838306060345e-07
group__hypothesis_000010,2.3734634519456618e-06,3.669054442339659e-07,6.639801541645237e-05,5,3.1289268327955547e-06,1.6180000710957689e-06
group__hypothesis_000028,2.1280717251326244e-06,1.1884380417433864e-06,0.008038225693250613,5,4.575082079041595e-06,-3.189386287763459e-07
group__hypothesis_000060,1.963160946087943e-06,1.2042028258294208e-06,0.010930358638741776,5,4.44263120832253e-06,-5.163093161466442e-07
group__hypothesis_000035,1.7938573303444245e-06,7.822095940378313e-07,0.0034239509694516494,5,3.4044376957538335e-06,1.832769649350154e-07
group__hypothesis_000029,1.7457388119879137e-06,1.1327527561291887e-06,0.013073617443054292,5,4.078092393164813e-06,-5.866147691889853e-07
group__hypothesis_000004,1.5180910090106764e-06,3.7453300698507746e-07,0.00041067822205648246,5,2.289259646989229e-06,7.46922371032124e-07
group__hypothesis_000012,7.56877457206421e-07,5.661376613312197e-07,0.020180400567172678,5,1.922562726741436e-06,-4.088078123285942e-07
group__hypothesis_000053,5.635051829155832e-07,1.5808984741727544e-07,0.000671352436164951,5,8.8901436378165e-07,2.3799600204951627e-07
group__hypothesis_000056,5.483511654347202e-07,1.7302143550978317e-07,0.0010466150218152433,5,9.046046925597398e-07,1.920976383097006e-07
group__hypothesis_000007,4.217350215185374e-07,6.215421223630779e-07,0.10190341073079294,5,1.701498842089179e-06,-8.580287990521043e-07
group__hypothesis_000006,3.896207341902387e-07,2.1805240899490602e-07,0.008095607491451625,5,8.385936581153221e-07,-5.9352189734844716e-08
group__hypothesis_000005,2.2029154933988396e-07,2.0454944835703092e-07,0.03685094928047397,5,6.414616906808331e-07,-2.008785920010652e-07
group__hypothesis_000055,1.52926480156962e-07,7.468890781632154e-07,0.3354178754678871,5,1.690781415199128e-06,-1.384928454885204e-06
group__hypothesis_000009,1.1130308848804967e-07,7.74535564582084e-08,0.01624343022524562,5,2.7078103175741636e-07,-4.8174854781317e-08
group__hypothesis_000008,4.085304681206831e-09,2.3941251326507844e-07,0.485695845867386,5,4.970389785265904e-07,-4.888683691641768e-07
profile_hash,-1.4551915309682015e-12,0.0,0.5,5,-1.4551915309682015e-12,-1.4551915309682015e-12
profile_id,-1.4551915309682015e-12,0.0,0.5,5,-1.4551915309682015e-12,-1.4551915309682015e-12
