,importance,stddev,p_value,n,p99_high,p99_low
hist_group_mean_cv,3.7865110778803066e-05,7.69786105743537e-06,0.00019415269885638965,5,5.371511309180908e-05,2.2015108465797052e-05
parent_cv_score,1.936777963637893e-05,2.7488308640965596e-06,4.741096444460844e-05,5,2.5027660378433824e-05,1.3707898894324036e-05
component_families,1.789254312515088e-05,4.496174127501245e-06,0.0004407145323835097,5,2.7150227797406456e-05,8.634858452895304e-06
n_component_versions,1.6489536476131945e-05,1.5703800353989014e-06,9.75287816443868e-06,5,1.9722970673976976e-05,1.3256102278286914e-05
graph_depth,1.4922760677335005e-05,1.240057296729917e-06,5.669744684880357e-06,5,1.7476055790715167e-05,1.2369465563954845e-05
hist_group_effect_mean,1.4646600246427395e-05,2.7331605417233905e-06,0.00013899357287085393,5,2.027421557812906e-05,9.018984914725727e-06
parent_delta_vs_grandparent,1.3255994129178776e-05,3.915458328455736e-06,0.0008161287165481498,5,2.131797694485434e-05,5.194011313503214e-06
hist_group_use_count_sum,1.2286867618559465e-05,8.199561377871603e-07,2.3659446537290173e-06,5,1.397516863926142e-05,1.0598566597857509e-05
group__hypothesis_000015,1.1602129364011177e-05,2.250842819624216e-06,0.00016178022328064922,5,1.6236645839571288e-05,6.967612888451067e-06
n_active_groups,1.0589594841001752e-05,2.447915445607778e-06,0.00031953875273184264,5,1.562988657729517e-05,5.549303104708334e-06
group__hypothesis_000016,8.34519128799172e-06,2.8506984341266637e-06,0.0014077356625889312,5,1.4214818764698042e-05,2.475563811285398e-06
hist_group_use_count_mean,8.222630023954075e-06,9.513343078826785e-07,2.112317509511877e-05,5,1.0181440512721984e-05,6.263819535186166e-06
revision__hypothesis_000008,7.732992362975427e-06,3.6636206529910365e-06,0.0045865255085441,5,1.5276437924102594e-05,1.8954680184826145e-07
n_changed_groups_vs_parent,7.705678462981429e-06,5.595964809125316e-06,0.01848234366045138,5,1.922784734942358e-05,-3.816490423460721e-06
group__hypothesis_000040,7.46965408325196e-06,4.5109572557700725e-06,0.010393268312879957,5,1.6757777420937598e-05,-1.8184692544336767e-06
group__hypothesis_000032,7.193393611907301e-06,1.1493572713772978e-06,7.561810786952879e-05,5,9.559936119478847e-06,4.826851104335756e-06
hist_group_max_cv,6.540143108366709e-06,2.145006733624962e-06,0.0012097375257653605,5,1.0956741620044193e-05,2.1235445966892253e-06
group__hypothesis_000060,6.161504077911722e-06,2.364758445587725e-06,0.002161529283646423,5,1.103057440181197e-05,1.2924337540114747e-06
group__hypothesis_000056,5.8693601608261786e-06,9.01616548991911e-07,6.476845945945442e-05,5,7.725801096865542e-06,4.012919224786815e-06
group__hypothesis_000028,5.869235134123854e-06,9.907787163921369e-07,9.385088601306861e-05,5,7.9092622051924e-06,3.8292080630553085e-06
group__hypothesis_000029,5.503304672239701e-06,1.3626691877356642e-06,0.0004164424485617134,5,8.309059363877124e-06,2.697549980602279e-06
group__hypothesis_000013,5.3639927864068745e-06,1.111265284335156e-06,0.0002089518630444681,5,7.652103366171437e-06,3.0758822066423107e-06
group__hypothesis_000035,4.23202056884731e-06,8.293405781360894e-07,0.0001682693000279339,5,5.939644281934459e-06,2.524396855760161e-06
group__hypothesis_000004,3.8965148925773725e-06,1.1942507157339077e-06,0.0009382750003621135,5,6.355493622572518e-06,1.4375361625822266e-06
n_new_groups_vs_parent,1.5997592926009278e-06,5.610757097992639e-07,0.0015523037054946964,5,2.7550219339680406e-06,4.4449665123381494e-07
group__hypothesis_000010,1.5134951591488992e-06,1.765655100302655e-06,0.06387605824971114,5,5.14900341461898e-06,-2.1220130963211824e-06
group__hypothesis_000018,1.4737248420715413e-06,4.903908532160938e-07,0.0012768541144201407,5,2.4834463867653656e-06,4.640032973777169e-07
group__hypothesis_000009,1.2931227684021039e-06,3.123284808096618e-07,0.00037846101038945684,5,1.9362114272275565e-06,6.500341095766513e-07
group__hypothesis_000053,1.2654066085815496e-06,3.467545354845978e-07,0.0006138640627731086,5,1.9793789898013368e-06,5.514342273617624e-07
group__hypothesis_000055,9.862232208246496e-07,9.070760916976198e-07,0.03594478945045152,5,2.8539054307539672e-06,-8.81458989104668e-07
group__hypothesis_000008,7.763504981994683e-07,6.850427000909411e-07,0.03219136810395505,5,2.1868628859830352e-06,-6.341618895840988e-07
group__hypothesis_000005,6.587328910845402e-07,4.946423533941291e-07,0.020412790129154437,5,1.6772083334069162e-06,-3.5974255123783585e-07
group__hypothesis_000007,5.564093589782737e-07,4.495307664231238e-07,0.025224707363652905,5,1.4819994202189571e-06,-3.6918070226240994e-07
group__hypothesis_000012,3.4570693969727377e-07,4.965955891083214e-07,0.09727125078005859,5,1.3682041213517583e-06,-6.767902419572109e-07
group__hypothesis_000006,8.016824722290744e-08,2.5669472258056594e-07,0.26171509565809886,5,6.08706228914397e-07,-4.4836973446858215e-07
profile_hash,0.0,0.0,0.5,5,0.0,0.0
profile_id,0.0,0.0,0.5,5,0.0,0.0
