model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,num_features,num_models,num_models_w_ancestors,memory_size,memory_size_w_ancestors,memory_size_min,memory_size_min_w_ancestors,num_ancestors,num_descendants,model_type,child_model_type,stopping_metric,hyperparameters,hyperparameters_fit,ag_args_fit,features,compile_time,child_hyperparameters,child_hyperparameters_fit,child_ag_args_fit,ancestors,descendants
WeightedEnsemble_L2,-0.0001702539706230216,mean_absolute_error,0.011094331741333008,1.1523802280426025,0.00024080276489257812,0.01785755157470703,2,True,10,3,1,4,3968,777818,3968,383103,3,0,WeightedEnsembleModel,GreedyWeightedEnsembleModel,mean_absolute_error,"{'use_orig_features': False, 'valid_stacker': True, 'max_base_models': 0, 'max_base_models_per_type': 'auto', 'save_bag_folds': True, 'stratify': 'auto', 'bin': 'auto', 'n_bins': None, 'vary_seed_across_folds': False, 'model_random_seed': 0}",{},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': None, 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None, 'drop_unique': False}","['CatBoost', 'NeuralNetTorch', 'NeuralNetFastAI']",,"{'ensemble_size': 25, 'subsample_size': 1000000}",{'ensemble_size': 5},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': None, 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None, 'drop_unique': False}","['CatBoost', 'NeuralNetTorch', 'NeuralNetFastAI']",[]
NeuralNetFastAI,-0.00018079710006714544,mean_absolute_error,0.004465818405151367,0.19638371467590332,0.004465818405151367,0.19638371467590332,1,True,6,37,1,1,153107,153107,153107,153107,0,1,NNFastAiTabularModel,,mean_absolute_error,"{'layers': None, 'emb_drop': 0.1, 'ps': 0.1, 'bs': 'auto', 'lr': 0.01, 'epochs': 'auto', 'early.stopping.min_delta': 0.0001, 'early.stopping.patience': 20, 'smoothing': 0.0, 'random_seed': 0}","{'epochs': 30, 'best_epoch': 13}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],['WeightedEnsemble_L2']
NeuralNetTorch,-0.00018229693651199141,mean_absolute_error,0.003973960876464844,0.49428272247314453,0.003973960876464844,0.49428272247314453,1,True,8,37,1,1,237640,237640,237640,237640,0,1,TabularNeuralNetTorchModel,,mean_absolute_error,"{'num_epochs': 1000, 'epochs_wo_improve': None, 'activation': 'relu', 'embedding_size_factor': 1.0, 'embed_exponent': 0.56, 'max_embedding_dim': 100, 'y_range': None, 'y_range_extend': 0.05, 'dropout_prob': 0.1, 'optimizer': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-06, 'proc.embed_min_categories': 4, 'proc.impute_strategy': 'median', 'proc.max_category_levels': 100, 'proc.skew_threshold': 0.99, 'use_ngram_features': False, 'num_layers': 4, 'hidden_size': 128, 'max_batch_size': 512, 'use_batchnorm': False, 'loss_function': 'auto', 'seed_value': 0}","{'batch_size': 16, 'num_epochs': 115}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],['WeightedEnsemble_L2']
CatBoost,-0.00020300672292709876,mean_absolute_error,0.0024137496948242188,0.44385623931884766,0.0024137496948242188,0.44385623931884766,1,True,4,37,1,1,383103,383103,383103,383103,0,1,CatBoostModel,,mean_absolute_error,"{'iterations': 10000, 'learning_rate': 0.05, 'allow_writing_files': False, 'eval_metric': 'MAE', 'random_seed': 0}",{'iterations': 325},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],['WeightedEnsemble_L2']
LightGBMLarge,-0.00020634458303452063,mean_absolute_error,0.0015416145324707031,0.3506319522857666,0.0015416145324707031,0.3506319522857666,1,True,9,37,1,1,546014,546014,546014,546014,0,0,LGBModel,,mean_absolute_error,"{'learning_rate': 0.03, 'num_leaves': 128, 'feature_fraction': 0.9, 'min_data_in_leaf': 3, 'seed': 0}",{'num_boost_round': 542},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],[]
RandomForestMSE,-0.0002226539039611869,mean_absolute_error,0.027484655380249023,0.17791104316711426,0.027484655380249023,0.17791104316711426,1,True,3,37,1,1,893572,893572,893572,893572,0,0,RFModel,,mean_absolute_error,"{'n_estimators': 300, 'max_leaf_nodes': 15000, 'n_jobs': -1, 'bootstrap': True, 'criterion': 'squared_error', 'random_state': 0}",{'n_estimators': 300},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],[]
ExtraTreesMSE,-0.0002269179058074916,mean_absolute_error,0.027902603149414062,0.21207714080810547,0.027902603149414062,0.21207714080810547,1,True,5,37,1,1,898625,898625,898625,898625,0,0,XTModel,,mean_absolute_error,"{'n_estimators': 300, 'max_leaf_nodes': 15000, 'n_jobs': -1, 'bootstrap': True, 'criterion': 'squared_error', 'random_state': 0}",{'n_estimators': 300},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],[]
LightGBMXT,-0.00026109889984131385,mean_absolute_error,0.0008881092071533203,0.2406919002532959,0.0008881092071533203,0.2406919002532959,1,True,1,37,1,1,8482,8482,8482,8482,0,0,LGBModel,,mean_absolute_error,"{'learning_rate': 0.05, 'extra_trees': True, 'seed': 0}",{'num_boost_round': 1},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],[]
LightGBM,-0.00026109889984131385,mean_absolute_error,0.0011234283447265625,0.23852276802062988,0.0011234283447265625,0.23852276802062988,1,True,2,37,1,1,8453,8453,8453,8453,0,0,LGBModel,,mean_absolute_error,"{'learning_rate': 0.05, 'seed': 0}",{'num_boost_round': 1},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],[]
XGBoost,-0.00026109889984131385,mean_absolute_error,0.0025260448455810547,0.03599953651428223,0.0025260448455810547,0.03599953651428223,1,True,7,37,1,1,218047,218047,218047,218047,0,0,XGBoostModel,,mean_absolute_error,"{'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'reg:squarederror', 'booster': 'gbtree', 'seed': 0}",{'n_estimators': 1},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['profile_id', 'profile_hash', 'graph_depth', 'n_active_groups', 'n_component_versions', 'n_new_groups_vs_parent', 'n_changed_groups_vs_parent', 'parent_cv_score', 'parent_delta_vs_grandparent', 'hist_group_mean_cv', 'hist_group_max_cv', 'hist_group_use_count_sum', 'hist_group_use_count_mean', 'hist_group_effect_mean', 'group__hypothesis_000004', 'group__hypothesis_000005', 'group__hypothesis_000006', 'group__hypothesis_000007', 'group__hypothesis_000008', 'revision__hypothesis_000008', 'group__hypothesis_000009', 'group__hypothesis_000010', 'group__hypothesis_000012', 'group__hypothesis_000013', 'group__hypothesis_000015', 'group__hypothesis_000016', 'group__hypothesis_000018', 'group__hypothesis_000028', 'group__hypothesis_000029', 'group__hypothesis_000032', 'group__hypothesis_000035', 'group__hypothesis_000040', 'group__hypothesis_000053', 'group__hypothesis_000055', 'group__hypothesis_000056', 'group__hypothesis_000060', 'component_families']",,,,,[],[]
